Skin_Concern,Skin_Type,Skin_Tone,Age,Gender,Recommended_Product
Sunburn,Normal,Dusky,48,Other,Aloe Vera Gel
Tanning,Combination,Olive,50,Male,Lotus Herbals Safe Sun
Rosacea,Normal,Fair,28,Male,Cetaphil Redness Relief
Oily Skin,Normal,Dark,32,Male,La Roche-Posay Effaclar Gel
Uneven Skin Tone,Normal,Dusky,41,Male,L'Oreal Paris Glycolic Bright Serum
Rosacea,Oily,Dusky,55,Other,Cetaphil Redness Relief
Oily Skin,Combination,Medium,44,Male,La Roche-Posay Effaclar Gel
Blackheads,Normal,Medium,58,Female,The Body Shop Tea Tree Cleanser
Acne,Sensitive,Medium,60,Male,Neutrogena Oil-Free Acne Wash
Blackheads,Dry,Dark,57,Male,The Body Shop Tea Tree Cleanser
Dark Circles,Oily,Dusky,31,Male,Mamaearth Under Eye Cream
Eczema,Sensitive,Dark,42,Other,CeraVe Eczema Relief Creamy Oil
Tanning,Normal,Medium,42,Male,Lotus Herbals Safe Sun
Dark Spots,Normal,Dark,56,Other,Minimalist Alpha Arbutin Serum
Rosacea,Combination,Dusky,32,Female,Cetaphil Redness Relief
Pores,Combination,Medium,36,Other,Innisfree Super Volcanic Clay Mask
Pores,Oily,Medium,36,Other,Innisfree Super Volcanic Clay Mask
Blackheads,Normal,Olive,24,Male,The Body Shop Tea Tree Cleanser
Dark Spots,Sensitive,Olive,36,Male,Minimalist Alpha Arbutin Serum
Eczema,Dry,Dusky,60,Other,CeraVe Eczema Relief Creamy Oil
Tanning,Dry,Dark,33,Other,Lotus Herbals Safe Sun
Dryness,Sensitive,Olive,44,Female,CeraVe Moisturizing Cream
Inflammation,Sensitive,Fair,26,Male,The Ordinary Niacinamide 10% + Zinc 1%
Tanning,Sensitive,Olive,57,Male,Lotus Herbals Safe Sun
Pores,Sensitive,Medium,20,Other,Innisfree Super Volcanic Clay Mask
Pores,Oily,Dusky,52,Female,Innisfree Super Volcanic Clay Mask
Acne,Normal,Dark,43,Other,Neutrogena Oil-Free Acne Wash
Dark Circles,Sensitive,Medium,58,Female,Mamaearth Under Eye Cream
Dullness,Normal,Dusky,37,Male,The Ordinary Vitamin C Suspension
Inflammation,Normal,Dark,25,Other,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Combination,Fair,55,Male,The Ordinary Niacinamide 10% + Zinc 1%
Pores,Normal,Fair,20,Other,Innisfree Super Volcanic Clay Mask
Oily Skin,Normal,Dark,26,Other,La Roche-Posay Effaclar Gel
Sunburn,Dry,Olive,27,Male,Aloe Vera Gel
Acne,Sensitive,Fair,37,Male,Neutrogena Oil-Free Acne Wash
Wrinkles,Sensitive,Olive,60,Other,Olay Regenerist Retinol 24
Rosacea,Sensitive,Dark,60,Female,Cetaphil Redness Relief
Dark Circles,Combination,Medium,22,Female,Mamaearth Under Eye Cream
Pores,Dry,Dark,32,Female,Innisfree Super Volcanic Clay Mask
Oily Skin,Dry,Dusky,41,Male,La Roche-Posay Effaclar Gel
Blackheads,Combination,Fair,37,Female,The Body Shop Tea Tree Cleanser
Wrinkles,Normal,Dusky,17,Other,Olay Regenerist Retinol 24
Dryness,Normal,Fair,59,Female,CeraVe Moisturizing Cream
Wrinkles,Dry,Fair,49,Male,Olay Regenerist Retinol 24
Acne,Combination,Dark,35,Male,Neutrogena Oil-Free Acne Wash
Inflammation,Normal,Dusky,20,Male,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Normal,Dark,27,Other,Aloe Vera Gel
Sunburn,Combination,Fair,59,Male,Aloe Vera Gel
Eczema,Combination,Olive,27,Female,CeraVe Eczema Relief Creamy Oil
Pigmentation,Normal,Medium,44,Male,Murad Rapid Age Spot Correcting Serum
Eczema,Oily,Olive,23,Female,CeraVe Eczema Relief Creamy Oil
Dullness,Oily,Dusky,59,Male,The Ordinary Vitamin C Suspension
Inflammation,Normal,Medium,22,Female,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Normal,Medium,55,Female,Aloe Vera Gel
Itchy Skin,Normal,Dark,44,Male,Eucerin Itch Relief Cream
Tanning,Oily,Dusky,31,Female,Lotus Herbals Safe Sun
Dark Circles,Dry,Dark,28,Female,Mamaearth Under Eye Cream
Dryness,Combination,Fair,46,Other,CeraVe Moisturizing Cream
Inflammation,Oily,Olive,21,Other,The Ordinary Niacinamide 10% + Zinc 1%
Uneven Skin Tone,Normal,Olive,52,Other,L'Oreal Paris Glycolic Bright Serum
Tanning,Normal,Dark,50,Other,Lotus Herbals Safe Sun
Sunburn,Combination,Dusky,24,Female,Aloe Vera Gel
Sunburn,Combination,Dark,41,Female,Aloe Vera Gel
Rosacea,Oily,Dark,17,Female,Cetaphil Redness Relief
Wrinkles,Combination,Olive,46,Other,Olay Regenerist Retinol 24
Rosacea,Combination,Dark,34,Other,Cetaphil Redness Relief
Dryness,Normal,Fair,28,Male,CeraVe Moisturizing Cream
Dullness,Normal,Olive,50,Male,The Ordinary Vitamin C Suspension
Uneven Skin Tone,Oily,Olive,17,Male,L'Oreal Paris Glycolic Bright Serum
Dullness,Sensitive,Medium,38,Other,The Ordinary Vitamin C Suspension
Dryness,Sensitive,Olive,49,Male,CeraVe Moisturizing Cream
Dark Spots,Combination,Fair,29,Male,Minimalist Alpha Arbutin Serum
Itchy Skin,Dry,Medium,36,Male,Eucerin Itch Relief Cream
Sunburn,Sensitive,Medium,52,Other,Aloe Vera Gel
Eczema,Oily,Fair,40,Male,CeraVe Eczema Relief Creamy Oil
Wrinkles,Combination,Fair,31,Other,Olay Regenerist Retinol 24
Uneven Skin Tone,Dry,Dark,30,Female,L'Oreal Paris Glycolic Bright Serum
Rosacea,Oily,Medium,25,Other,Cetaphil Redness Relief
Blackheads,Normal,Dusky,43,Other,The Body Shop Tea Tree Cleanser
Inflammation,Combination,Medium,57,Other,The Ordinary Niacinamide 10% + Zinc 1%
Whiteheads,Sensitive,Fair,42,Female,Paula's Choice BHA Exfoliant
Rosacea,Combination,Medium,47,Female,Cetaphil Redness Relief
Eczema,Oily,Dark,18,Other,CeraVe Eczema Relief Creamy Oil
Itchy Skin,Dry,Medium,20,Other,Eucerin Itch Relief Cream
Wrinkles,Oily,Medium,47,Male,Olay Regenerist Retinol 24
Pigmentation,Normal,Dusky,26,Other,Murad Rapid Age Spot Correcting Serum
Whiteheads,Sensitive,Dusky,50,Female,Paula's Choice BHA Exfoliant
Dullness,Normal,Dusky,22,Male,The Ordinary Vitamin C Suspension
Rosacea,Dry,Fair,51,Female,Cetaphil Redness Relief
Sunburn,Dry,Olive,18,Female,Aloe Vera Gel
Sagging,Oily,Fair,30,Male,Pond’s Age Miracle Firming Serum
Rosacea,Dry,Fair,60,Male,Cetaphil Redness Relief
Blackheads,Sensitive,Olive,39,Female,The Body Shop Tea Tree Cleanser
Dark Circles,Sensitive,Olive,18,Other,Mamaearth Under Eye Cream
Dark Spots,Dry,Medium,36,Male,Minimalist Alpha Arbutin Serum
Inflammation,Oily,Medium,37,Female,The Ordinary Niacinamide 10% + Zinc 1%
Pigmentation,Combination,Dark,28,Other,Murad Rapid Age Spot Correcting Serum
Dryness,Sensitive,Dark,25,Female,CeraVe Moisturizing Cream
Dark Spots,Oily,Medium,27,Other,Minimalist Alpha Arbutin Serum
Sunburn,Combination,Dark,17,Female,Aloe Vera Gel
Oily Skin,Dry,Olive,49,Female,La Roche-Posay Effaclar Gel
Tanning,Dry,Medium,51,Female,Lotus Herbals Safe Sun
Dryness,Oily,Fair,42,Other,CeraVe Moisturizing Cream
Tanning,Oily,Olive,26,Other,Lotus Herbals Safe Sun
Uneven Skin Tone,Combination,Fair,25,Male,L'Oreal Paris Glycolic Bright Serum
Blackheads,Oily,Dark,16,Other,The Body Shop Tea Tree Cleanser
Dryness,Sensitive,Olive,23,Male,CeraVe Moisturizing Cream
Dryness,Normal,Olive,20,Male,CeraVe Moisturizing Cream
Sagging,Normal,Dark,34,Other,Pond’s Age Miracle Firming Serum
Eczema,Sensitive,Dark,31,Other,CeraVe Eczema Relief Creamy Oil
Sagging,Normal,Dusky,38,Other,Pond’s Age Miracle Firming Serum
Itchy Skin,Sensitive,Medium,45,Other,Eucerin Itch Relief Cream
Pores,Dry,Medium,34,Other,Innisfree Super Volcanic Clay Mask
Pigmentation,Sensitive,Dusky,26,Female,Murad Rapid Age Spot Correcting Serum
Acne,Sensitive,Dusky,25,Male,Neutrogena Oil-Free Acne Wash
Itchy Skin,Sensitive,Olive,30,Female,Eucerin Itch Relief Cream
Dark Circles,Combination,Medium,41,Female,Mamaearth Under Eye Cream
Redness,Sensitive,Dark,44,Female,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Combination,Dusky,36,Other,Eucerin Itch Relief Cream
Rosacea,Dry,Olive,29,Male,Cetaphil Redness Relief
Sunburn,Dry,Olive,28,Other,Aloe Vera Gel
Eczema,Combination,Dark,51,Female,CeraVe Eczema Relief Creamy Oil
Pores,Combination,Medium,41,Male,Innisfree Super Volcanic Clay Mask
Sagging,Oily,Olive,57,Female,Pond’s Age Miracle Firming Serum
Dullness,Normal,Dark,19,Male,The Ordinary Vitamin C Suspension
Sunburn,Combination,Olive,26,Other,Aloe Vera Gel
Rosacea,Normal,Dark,27,Female,Cetaphil Redness Relief
Acne,Dry,Dark,52,Other,Neutrogena Oil-Free Acne Wash
Pigmentation,Combination,Olive,25,Other,Murad Rapid Age Spot Correcting Serum
Rosacea,Normal,Medium,25,Female,Cetaphil Redness Relief
Uneven Skin Tone,Sensitive,Medium,24,Female,L'Oreal Paris Glycolic Bright Serum
Uneven Skin Tone,Normal,Olive,49,Other,L'Oreal Paris Glycolic Bright Serum
Dryness,Oily,Fair,21,Male,CeraVe Moisturizing Cream
Acne,Oily,Dusky,21,Female,Neutrogena Oil-Free Acne Wash
Pores,Dry,Medium,29,Female,Innisfree Super Volcanic Clay Mask
Oily Skin,Combination,Olive,36,Other,La Roche-Posay Effaclar Gel
Itchy Skin,Sensitive,Dusky,27,Female,Eucerin Itch Relief Cream
Dullness,Oily,Olive,26,Male,The Ordinary Vitamin C Suspension
Pigmentation,Sensitive,Fair,50,Other,Murad Rapid Age Spot Correcting Serum
Redness,Dry,Olive,51,Other,Aveeno Ultra-Calming Foaming Cleanser
Sagging,Combination,Medium,23,Other,Pond’s Age Miracle Firming Serum
Dark Circles,Sensitive,Fair,18,Male,Mamaearth Under Eye Cream
Rosacea,Sensitive,Dark,46,Male,Cetaphil Redness Relief
Acne,Normal,Dusky,44,Other,Neutrogena Oil-Free Acne Wash
Inflammation,Dry,Dark,17,Female,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Combination,Dusky,21,Female,The Ordinary Niacinamide 10% + Zinc 1%
Oily Skin,Dry,Medium,55,Female,La Roche-Posay Effaclar Gel
Rosacea,Dry,Fair,58,Male,Cetaphil Redness Relief
Uneven Skin Tone,Combination,Fair,38,Other,L'Oreal Paris Glycolic Bright Serum
Sagging,Oily,Olive,53,Female,Pond’s Age Miracle Firming Serum
Pigmentation,Combination,Dusky,28,Other,Murad Rapid Age Spot Correcting Serum
Whiteheads,Normal,Fair,47,Female,Paula's Choice BHA Exfoliant
Pigmentation,Oily,Medium,60,Female,Murad Rapid Age Spot Correcting Serum
Whiteheads,Sensitive,Dark,37,Male,Paula's Choice BHA Exfoliant
Whiteheads,Sensitive,Fair,37,Other,Paula's Choice BHA Exfoliant
Dryness,Dry,Olive,16,Other,CeraVe Moisturizing Cream
Inflammation,Oily,Dusky,40,Male,The Ordinary Niacinamide 10% + Zinc 1%
Sagging,Sensitive,Dark,18,Other,Pond’s Age Miracle Firming Serum
Whiteheads,Sensitive,Dusky,39,Other,Paula's Choice BHA Exfoliant
Redness,Sensitive,Dusky,24,Female,Aveeno Ultra-Calming Foaming Cleanser
Whiteheads,Normal,Medium,47,Female,Paula's Choice BHA Exfoliant
Whiteheads,Oily,Dark,58,Male,Paula's Choice BHA Exfoliant
Uneven Skin Tone,Normal,Fair,17,Male,L'Oreal Paris Glycolic Bright Serum
Wrinkles,Dry,Fair,27,Female,Olay Regenerist Retinol 24
Oily Skin,Dry,Olive,31,Male,La Roche-Posay Effaclar Gel
Oily Skin,Oily,Fair,37,Other,La Roche-Posay Effaclar Gel
Oily Skin,Dry,Olive,56,Female,La Roche-Posay Effaclar Gel
Uneven Skin Tone,Oily,Olive,23,Male,L'Oreal Paris Glycolic Bright Serum
Dark Circles,Dry,Fair,27,Male,Mamaearth Under Eye Cream
Oily Skin,Oily,Dark,59,Male,La Roche-Posay Effaclar Gel
Sunburn,Oily,Fair,40,Female,Aloe Vera Gel
Dark Spots,Dry,Dark,28,Other,Minimalist Alpha Arbutin Serum
Sagging,Normal,Medium,46,Female,Pond’s Age Miracle Firming Serum
Inflammation,Oily,Dark,27,Other,The Ordinary Niacinamide 10% + Zinc 1%
Acne,Oily,Medium,28,Female,Neutrogena Oil-Free Acne Wash
Dark Circles,Normal,Olive,28,Other,Mamaearth Under Eye Cream
Wrinkles,Oily,Medium,27,Female,Olay Regenerist Retinol 24
Blackheads,Dry,Dark,56,Other,The Body Shop Tea Tree Cleanser
Dullness,Normal,Dark,48,Other,The Ordinary Vitamin C Suspension
Dullness,Dry,Dark,32,Female,The Ordinary Vitamin C Suspension
Blackheads,Normal,Fair,57,Other,The Body Shop Tea Tree Cleanser
Whiteheads,Combination,Medium,20,Male,Paula's Choice BHA Exfoliant
Oily Skin,Sensitive,Dusky,19,Other,La Roche-Posay Effaclar Gel
Redness,Oily,Dark,16,Other,Aveeno Ultra-Calming Foaming Cleanser
Oily Skin,Combination,Olive,39,Other,La Roche-Posay Effaclar Gel
Eczema,Oily,Olive,32,Other,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Sensitive,Dusky,46,Female,L'Oreal Paris Glycolic Bright Serum
Sagging,Combination,Dark,36,Other,Pond’s Age Miracle Firming Serum
Sunburn,Dry,Olive,26,Male,Aloe Vera Gel
Pores,Sensitive,Dark,45,Female,Innisfree Super Volcanic Clay Mask
Rosacea,Sensitive,Dark,44,Male,Cetaphil Redness Relief
Dark Circles,Sensitive,Dark,17,Male,Mamaearth Under Eye Cream
Uneven Skin Tone,Sensitive,Medium,41,Female,L'Oreal Paris Glycolic Bright Serum
Acne,Sensitive,Medium,25,Other,Neutrogena Oil-Free Acne Wash
Pigmentation,Dry,Fair,17,Female,Murad Rapid Age Spot Correcting Serum
Sagging,Dry,Dusky,37,Male,Pond’s Age Miracle Firming Serum
Acne,Sensitive,Dark,26,Female,Neutrogena Oil-Free Acne Wash
Tanning,Combination,Medium,28,Female,Lotus Herbals Safe Sun
Eczema,Sensitive,Dark,43,Male,CeraVe Eczema Relief Creamy Oil
Sagging,Oily,Dusky,22,Male,Pond’s Age Miracle Firming Serum
Uneven Skin Tone,Sensitive,Olive,34,Male,L'Oreal Paris Glycolic Bright Serum
Blackheads,Normal,Dark,29,Female,The Body Shop Tea Tree Cleanser
Sagging,Oily,Dusky,56,Male,Pond’s Age Miracle Firming Serum
Uneven Skin Tone,Combination,Olive,43,Other,L'Oreal Paris Glycolic Bright Serum
Wrinkles,Normal,Medium,49,Female,Olay Regenerist Retinol 24
Uneven Skin Tone,Combination,Medium,39,Other,L'Oreal Paris Glycolic Bright Serum
Sagging,Oily,Fair,44,Female,Pond’s Age Miracle Firming Serum
Redness,Dry,Medium,36,Other,Aveeno Ultra-Calming Foaming Cleanser
Blackheads,Combination,Dark,33,Other,The Body Shop Tea Tree Cleanser
Uneven Skin Tone,Normal,Dusky,60,Male,L'Oreal Paris Glycolic Bright Serum
Dark Circles,Combination,Olive,30,Other,Mamaearth Under Eye Cream
Inflammation,Normal,Medium,31,Female,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Sensitive,Fair,36,Other,The Ordinary Niacinamide 10% + Zinc 1%
Wrinkles,Sensitive,Medium,55,Female,Olay Regenerist Retinol 24
Oily Skin,Normal,Dark,45,Other,La Roche-Posay Effaclar Gel
Whiteheads,Oily,Dark,40,Male,Paula's Choice BHA Exfoliant
Whiteheads,Dry,Dusky,19,Female,Paula's Choice BHA Exfoliant
Blackheads,Dry,Fair,36,Female,The Body Shop Tea Tree Cleanser
Eczema,Sensitive,Olive,25,Female,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Sensitive,Dusky,54,Other,L'Oreal Paris Glycolic Bright Serum
Sunburn,Dry,Olive,54,Male,Aloe Vera Gel
Dullness,Oily,Medium,49,Other,The Ordinary Vitamin C Suspension
Dullness,Dry,Dark,43,Other,The Ordinary Vitamin C Suspension
Acne,Combination,Dusky,29,Male,Neutrogena Oil-Free Acne Wash
Dullness,Oily,Fair,57,Other,The Ordinary Vitamin C Suspension
Redness,Oily,Dusky,45,Male,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Sensitive,Olive,26,Other,Eucerin Itch Relief Cream
Itchy Skin,Combination,Fair,33,Female,Eucerin Itch Relief Cream
Whiteheads,Dry,Olive,45,Female,Paula's Choice BHA Exfoliant
Pigmentation,Normal,Medium,36,Male,Murad Rapid Age Spot Correcting Serum
Wrinkles,Oily,Dusky,51,Female,Olay Regenerist Retinol 24
Pores,Dry,Dusky,40,Other,Innisfree Super Volcanic Clay Mask
Acne,Sensitive,Dusky,41,Male,Neutrogena Oil-Free Acne Wash
Uneven Skin Tone,Normal,Fair,57,Female,L'Oreal Paris Glycolic Bright Serum
Uneven Skin Tone,Normal,Olive,18,Other,L'Oreal Paris Glycolic Bright Serum
Dryness,Dry,Dark,20,Male,CeraVe Moisturizing Cream
Dark Circles,Dry,Fair,49,Male,Mamaearth Under Eye Cream
Blackheads,Oily,Dusky,38,Female,The Body Shop Tea Tree Cleanser
Oily Skin,Sensitive,Dusky,20,Female,La Roche-Posay Effaclar Gel
Rosacea,Normal,Fair,49,Female,Cetaphil Redness Relief
Rosacea,Dry,Olive,21,Male,Cetaphil Redness Relief
Itchy Skin,Dry,Fair,32,Male,Eucerin Itch Relief Cream
Blackheads,Oily,Olive,17,Male,The Body Shop Tea Tree Cleanser
Blackheads,Sensitive,Fair,18,Male,The Body Shop Tea Tree Cleanser
Blackheads,Dry,Medium,48,Female,The Body Shop Tea Tree Cleanser
Uneven Skin Tone,Sensitive,Dark,17,Other,L'Oreal Paris Glycolic Bright Serum
Dullness,Sensitive,Fair,58,Other,The Ordinary Vitamin C Suspension
Redness,Normal,Fair,18,Male,Aveeno Ultra-Calming Foaming Cleanser
Inflammation,Oily,Medium,30,Other,The Ordinary Niacinamide 10% + Zinc 1%
Sagging,Oily,Dusky,60,Male,Pond’s Age Miracle Firming Serum
Inflammation,Combination,Olive,26,Female,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Dry,Olive,16,Other,Aloe Vera Gel
Eczema,Combination,Dusky,51,Female,CeraVe Eczema Relief Creamy Oil
Dark Spots,Sensitive,Medium,28,Other,Minimalist Alpha Arbutin Serum
Whiteheads,Combination,Medium,36,Female,Paula's Choice BHA Exfoliant
Rosacea,Oily,Dusky,44,Male,Cetaphil Redness Relief
Itchy Skin,Normal,Olive,41,Male,Eucerin Itch Relief Cream
Pigmentation,Oily,Fair,40,Male,Murad Rapid Age Spot Correcting Serum
Sunburn,Dry,Olive,35,Other,Aloe Vera Gel
Sunburn,Normal,Dusky,39,Female,Aloe Vera Gel
Dryness,Dry,Olive,32,Male,CeraVe Moisturizing Cream
Dark Spots,Oily,Dusky,16,Male,Minimalist Alpha Arbutin Serum
Pigmentation,Combination,Medium,47,Other,Murad Rapid Age Spot Correcting Serum
Rosacea,Combination,Dark,41,Other,Cetaphil Redness Relief
Pigmentation,Sensitive,Dark,51,Other,Murad Rapid Age Spot Correcting Serum
Dullness,Dry,Fair,55,Male,The Ordinary Vitamin C Suspension
Acne,Oily,Olive,19,Male,Neutrogena Oil-Free Acne Wash
Whiteheads,Oily,Dusky,44,Female,Paula's Choice BHA Exfoliant
Inflammation,Dry,Fair,19,Female,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Dry,Dark,39,Male,Aloe Vera Gel
Whiteheads,Sensitive,Fair,35,Male,Paula's Choice BHA Exfoliant
Wrinkles,Combination,Medium,32,Female,Olay Regenerist Retinol 24
Sunburn,Oily,Fair,46,Male,Aloe Vera Gel
Acne,Oily,Fair,31,Female,Neutrogena Oil-Free Acne Wash
Inflammation,Normal,Dusky,33,Male,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Sensitive,Fair,60,Male,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Oily,Dark,59,Female,Aloe Vera Gel
Acne,Oily,Dark,43,Female,Neutrogena Oil-Free Acne Wash
Redness,Dry,Fair,52,Male,Aveeno Ultra-Calming Foaming Cleanser
Oily Skin,Combination,Dusky,46,Male,La Roche-Posay Effaclar Gel
Whiteheads,Oily,Dusky,28,Male,Paula's Choice BHA Exfoliant
Itchy Skin,Oily,Fair,52,Female,Eucerin Itch Relief Cream
Tanning,Sensitive,Medium,19,Female,Lotus Herbals Safe Sun
Pores,Oily,Olive,39,Female,Innisfree Super Volcanic Clay Mask
Sagging,Normal,Medium,39,Other,Pond’s Age Miracle Firming Serum
Pores,Normal,Olive,25,Female,Innisfree Super Volcanic Clay Mask
Pores,Sensitive,Medium,53,Female,Innisfree Super Volcanic Clay Mask
Pores,Sensitive,Dusky,34,Male,Innisfree Super Volcanic Clay Mask
Sagging,Normal,Dark,39,Female,Pond’s Age Miracle Firming Serum
Oily Skin,Normal,Dusky,24,Female,La Roche-Posay Effaclar Gel
Pores,Sensitive,Dark,50,Other,Innisfree Super Volcanic Clay Mask
Pigmentation,Oily,Dusky,48,Other,Murad Rapid Age Spot Correcting Serum
Dark Circles,Normal,Dusky,50,Other,Mamaearth Under Eye Cream
Pigmentation,Normal,Medium,29,Other,Murad Rapid Age Spot Correcting Serum
Rosacea,Oily,Dark,23,Other,Cetaphil Redness Relief
Tanning,Oily,Olive,22,Other,Lotus Herbals Safe Sun
Acne,Combination,Olive,58,Male,Neutrogena Oil-Free Acne Wash
Blackheads,Combination,Dark,23,Female,The Body Shop Tea Tree Cleanser
Pores,Normal,Dark,49,Other,Innisfree Super Volcanic Clay Mask
Rosacea,Dry,Olive,38,Other,Cetaphil Redness Relief
Redness,Oily,Medium,56,Other,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Dry,Medium,16,Other,Eucerin Itch Relief Cream
Wrinkles,Sensitive,Medium,20,Other,Olay Regenerist Retinol 24
Dullness,Dry,Dark,35,Male,The Ordinary Vitamin C Suspension
Tanning,Oily,Medium,17,Male,Lotus Herbals Safe Sun
Acne,Combination,Fair,29,Male,Neutrogena Oil-Free Acne Wash
Oily Skin,Oily,Dusky,44,Male,La Roche-Posay Effaclar Gel
Redness,Combination,Dark,16,Other,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Combination,Dusky,40,Female,CeraVe Eczema Relief Creamy Oil
Sunburn,Combination,Dark,55,Other,Aloe Vera Gel
Sagging,Normal,Olive,18,Other,Pond’s Age Miracle Firming Serum
Sagging,Oily,Dark,36,Female,Pond’s Age Miracle Firming Serum
Acne,Combination,Dark,40,Other,Neutrogena Oil-Free Acne Wash
Wrinkles,Sensitive,Olive,55,Female,Olay Regenerist Retinol 24
Sagging,Oily,Dark,18,Female,Pond’s Age Miracle Firming Serum
Oily Skin,Sensitive,Dusky,50,Male,La Roche-Posay Effaclar Gel
Oily Skin,Dry,Fair,45,Female,La Roche-Posay Effaclar Gel
Uneven Skin Tone,Dry,Olive,46,Male,L'Oreal Paris Glycolic Bright Serum
Uneven Skin Tone,Combination,Olive,44,Male,L'Oreal Paris Glycolic Bright Serum
Eczema,Sensitive,Fair,16,Other,CeraVe Eczema Relief Creamy Oil
Dark Circles,Normal,Fair,48,Female,Mamaearth Under Eye Cream
Oily Skin,Normal,Medium,45,Female,La Roche-Posay Effaclar Gel
Inflammation,Sensitive,Olive,57,Other,The Ordinary Niacinamide 10% + Zinc 1%
Dryness,Combination,Olive,23,Other,CeraVe Moisturizing Cream
Dark Spots,Sensitive,Medium,44,Female,Minimalist Alpha Arbutin Serum
Pigmentation,Oily,Dusky,54,Female,Murad Rapid Age Spot Correcting Serum
Redness,Oily,Medium,20,Male,Aveeno Ultra-Calming Foaming Cleanser
Sagging,Sensitive,Medium,16,Female,Pond’s Age Miracle Firming Serum
Pigmentation,Sensitive,Fair,35,Male,Murad Rapid Age Spot Correcting Serum
Blackheads,Combination,Olive,47,Male,The Body Shop Tea Tree Cleanser
Itchy Skin,Oily,Fair,26,Male,Eucerin Itch Relief Cream
Dark Circles,Normal,Olive,17,Female,Mamaearth Under Eye Cream
Sagging,Combination,Dark,17,Other,Pond’s Age Miracle Firming Serum
Dark Spots,Combination,Olive,22,Female,Minimalist Alpha Arbutin Serum
Sagging,Oily,Dusky,43,Other,Pond’s Age Miracle Firming Serum
Redness,Oily,Fair,21,Female,Aveeno Ultra-Calming Foaming Cleanser
Pores,Sensitive,Dark,48,Male,Innisfree Super Volcanic Clay Mask
Dark Circles,Oily,Fair,26,Male,Mamaearth Under Eye Cream
Inflammation,Dry,Medium,44,Other,The Ordinary Niacinamide 10% + Zinc 1%
Tanning,Combination,Olive,32,Female,Lotus Herbals Safe Sun
Oily Skin,Dry,Olive,42,Male,La Roche-Posay Effaclar Gel
Tanning,Oily,Medium,28,Male,Lotus Herbals Safe Sun
Dullness,Dry,Dark,16,Female,The Ordinary Vitamin C Suspension
Dryness,Normal,Fair,23,Other,CeraVe Moisturizing Cream
Whiteheads,Normal,Olive,16,Female,Paula's Choice BHA Exfoliant
Dark Circles,Combination,Medium,46,Male,Mamaearth Under Eye Cream
Sunburn,Sensitive,Dark,46,Male,Aloe Vera Gel
Wrinkles,Dry,Dark,51,Other,Olay Regenerist Retinol 24
Tanning,Oily,Medium,58,Male,Lotus Herbals Safe Sun
Dark Spots,Dry,Fair,46,Other,Minimalist Alpha Arbutin Serum
Oily Skin,Normal,Medium,31,Other,La Roche-Posay Effaclar Gel
Redness,Combination,Medium,32,Female,Aveeno Ultra-Calming Foaming Cleanser
Dryness,Sensitive,Fair,36,Female,CeraVe Moisturizing Cream
Acne,Dry,Dusky,41,Female,Neutrogena Oil-Free Acne Wash
Eczema,Dry,Medium,46,Other,CeraVe Eczema Relief Creamy Oil
Dark Spots,Sensitive,Medium,31,Other,Minimalist Alpha Arbutin Serum
Dark Spots,Combination,Dark,20,Female,Minimalist Alpha Arbutin Serum
Eczema,Oily,Dark,20,Other,CeraVe Eczema Relief Creamy Oil
Oily Skin,Dry,Fair,39,Female,La Roche-Posay Effaclar Gel
Rosacea,Combination,Dark,57,Female,Cetaphil Redness Relief
Dullness,Normal,Olive,36,Female,The Ordinary Vitamin C Suspension
Sagging,Normal,Dark,40,Other,Pond’s Age Miracle Firming Serum
Inflammation,Normal,Olive,54,Other,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Dry,Dark,37,Male,The Ordinary Niacinamide 10% + Zinc 1%
Sagging,Combination,Olive,49,Other,Pond’s Age Miracle Firming Serum
Oily Skin,Combination,Dusky,33,Female,La Roche-Posay Effaclar Gel
Eczema,Normal,Medium,36,Female,CeraVe Eczema Relief Creamy Oil
Blackheads,Normal,Medium,38,Female,The Body Shop Tea Tree Cleanser
Sunburn,Combination,Olive,59,Female,Aloe Vera Gel
Whiteheads,Combination,Olive,43,Other,Paula's Choice BHA Exfoliant
Sunburn,Normal,Medium,60,Female,Aloe Vera Gel
Sunburn,Combination,Olive,51,Female,Aloe Vera Gel
Sunburn,Sensitive,Olive,49,Male,Aloe Vera Gel
Wrinkles,Combination,Medium,29,Other,Olay Regenerist Retinol 24
Uneven Skin Tone,Dry,Dark,39,Male,L'Oreal Paris Glycolic Bright Serum
