Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Oily Skin,combination,Vegetable Soup,Fried Chicken
Tanning,nonveg,Tuna,Spicy Chicken
Uneven Skin Tone,combination,Vegetable Soup,Cream Biscuits
Tanning,nonveg,Oysters,Butter Chicken
Dullness,combination,Avocado Toast with Egg,Burger
Sagging,vegen,Kale,Excess Soy
Pigmentation,vegen,Lentils,Excess Soy
Acne,combination,Fruit Yogurt,Instant Noodles
Inflammation,vegen,Zucchini,White Sugar
Pigmentation,vegen,Zucchini,Mock Meats
Itchy Skin,veg,Beetroot,Processed Juice
Pigmentation,vegen,Chia Seeds,Overprocessed Vegan Snacks
Dryness,combination,Vegetable Soup,Cream Biscuits
Itchy Skin,vegen,Chia Seeds,Excess Soy
Sagging,combination,Fish Curry with Rice,Cream Biscuits
Tanning,nonveg,Eggs,Spicy Chicken
Acne,veg,Beetroot,Cheese
Rosacea,veg,Sweet Potato,Carbonated Drinks
Pigmentation,veg,Carrot,Butter
Tanning,vegen,Zucchini,Fried Tofu
Dark Spots,vegen,Quinoa,Excess Soy
Pores,combination,Fish Curry with Rice,Ice Cream
Tanning,vegen,Soy Milk,Refined Oil
Sunburn,veg,Broccoli,Butter
Blackheads,vegen,Chia Seeds,Mock Meats
Inflammation,combination,Chicken with Broccoli,Butter Paneer
Oily Skin,combination,Fish Curry with Rice,Ice Cream
Inflammation,veg,Carrot,White Bread
Inflammation,nonveg,Bone Broth,Processed Meat
Acne,veg,Broccoli,Carbonated Drinks
Sagging,combination,Greek Yogurt with Berries,Ice Cream
Dryness,nonveg,Salmon,Fried Egg
Redness,vegen,Chia Seeds,Excess Soy
Inflammation,vegen,Chia Seeds,Mock Meats
Wrinkles,nonveg,Liver,Red Meat
Dark Circles,nonveg,Chicken Breast,Mutton Curry
Pigmentation,veg,Cucumber,Pickles
Itchy Skin,nonveg,Salmon,Fried Fish
Eczema,veg,Spinach,Refined Sugar
Rosacea,vegen,Chia Seeds,Overprocessed Vegan Snacks
Pigmentation,veg,Spinach,Processed Juice
Dryness,vegen,Tofu,Coconut Cream
Dark Spots,vegen,Oats,Excess Soy
Eczema,nonveg,Salmon,Bacon
Inflammation,nonveg,Liver,Sausages
Uneven Skin Tone,nonveg,Prawns,Red Meat
Pigmentation,vegen,Lentils,Vegan Mayo
Wrinkles,nonveg,Yogurt,Spicy Chicken
Wrinkles,veg,Broccoli,Fried Potato
Tanning,vegen,Coconut Water,Overprocessed Vegan Snacks
Uneven Skin Tone,veg,Turmeric Milk,Cheese
Dark Circles,nonveg,Bone Broth,Bacon
Rosacea,nonveg,Salmon,Fried Egg
Sunburn,combination,Mixed Nuts,Excess Cheese
Oily Skin,veg,Tomato,Processed Juice
Eczema,combination,Fish Curry with Rice,Cream Biscuits
Sagging,veg,Spinach,Carbonated Drinks
Itchy Skin,veg,Beetroot,Butter
Sunburn,vegen,Quinoa,Vegan Mayo
Uneven Skin Tone,combination,Avocado Toast with Egg,Instant Noodles
Dark Circles,nonveg,Salmon,Bacon
Oily Skin,nonveg,Salmon,Spicy Chicken
Sagging,veg,Almonds,Refined Sugar
Pores,nonveg,Turkey,Mutton Curry
Tanning,vegen,Lentils,Refined Oil
Pigmentation,veg,Cucumber,Refined Sugar
Redness,vegen,Zucchini,Refined Oil
Redness,nonveg,Eggs,Spicy Chicken
Dullness,veg,Pumpkin Seeds,Cheese
Whiteheads,nonveg,Salmon,Mutton Curry
Dullness,veg,Tomato,Fried Potato
Wrinkles,veg,Turmeric Milk,Cheese
Rosacea,vegen,Zucchini,Fried Tofu
Pores,vegen,Lentils,Mock Meats
Oily Skin,combination,Baked Fish with Veggies,Cream Biscuits
Pores,combination,Fruit Yogurt,Excess Cheese
Pigmentation,nonveg,Yogurt,Mayonnaise
Wrinkles,nonveg,Yogurt,Mayonnaise
Redness,veg,Spinach,Fried Potato
Tanning,veg,Spinach,Deep-Fried Snacks
Wrinkles,veg,Tomato,Fried Potato
Redness,nonveg,Chicken Breast,Mayonnaise
Rosacea,combination,Chicken with Broccoli,Butter Paneer
Pigmentation,vegen,Coconut Water,Refined Oil
Tanning,veg,Sweet Potato,Refined Sugar
Pores,vegen,Chia Seeds,Overprocessed Vegan Snacks
Inflammation,veg,Spinach,Cheese
Dryness,vegen,Chia Seeds,Excess Soy
Dark Spots,veg,Almonds,Creamy Curries
Wrinkles,nonveg,Salmon,Mayonnaise
Blackheads,combination,Chicken with Broccoli,Pizza
Dullness,combination,Greek Yogurt with Berries,Instant Noodles
Sagging,combination,Vegetable Soup,Excess Cheese
Pigmentation,veg,Tomato,Fried Potato
Acne,vegen,Tofu,Coconut Cream
Tanning,combination,Baked Fish with Veggies,Excess Cheese
Redness,combination,Baked Fish with Veggies,Pizza
Sunburn,veg,Sweet Potato,Fried Potato
Uneven Skin Tone,nonveg,Tuna,Fried Egg
Rosacea,nonveg,Turkey,Bacon
Redness,vegen,Hummus,Overprocessed Vegan Snacks
Oily Skin,combination,Tofu Stir Fry,Burger
Dark Spots,nonveg,Eggs,Mayonnaise
Acne,veg,Carrot,Butter
Rosacea,vegen,Hummus,White Sugar
Dullness,combination,Tofu Stir Fry,Pizza
Oily Skin,veg,Carrot,Creamy Curries
Inflammation,vegen,Kale,White Sugar
Whiteheads,veg,Carrot,Butter
Inflammation,nonveg,Prawns,Butter Chicken
Oily Skin,combination,Tofu Stir Fry,Pizza
Uneven Skin Tone,nonveg,Chicken Breast,Processed Meat
Pigmentation,veg,Broccoli,Processed Juice
Eczema,veg,Turmeric Milk,Butter
Eczema,vegen,Hummus,Mock Meats
Dark Spots,vegen,Oats,White Sugar
Sunburn,vegen,Zucchini,Fried Tofu
Wrinkles,vegen,Hummus,Mock Meats
Tanning,combination,Chicken with Broccoli,Excess Cheese
Rosacea,veg,Beetroot,Carbonated Drinks
Sagging,combination,Egg Salad,Butter Paneer
Sagging,combination,Vegetable Soup,Ice Cream
Pigmentation,combination,Avocado Toast with Egg,Sugary Drinks
Sunburn,combination,Tofu Stir Fry,Cream Biscuits
Wrinkles,vegen,Soy Milk,White Sugar
Whiteheads,nonveg,Liver,Spicy Chicken
Acne,nonveg,Turkey,Red Meat
Dark Spots,vegen,Coconut Water,Overprocessed Vegan Snacks
Wrinkles,veg,Almonds,Fried Potato
Pigmentation,veg,Broccoli,Refined Sugar
Tanning,veg,Tomato,Cheese
Eczema,vegen,Tofu,White Sugar
Oily Skin,vegen,Soy Milk,Vegan Mayo
Dark Spots,combination,Greek Yogurt with Berries,Pizza
Oily Skin,vegen,Lentils,Packaged Vegan Chips
Tanning,nonveg,Eggs,Fried Fish
Itchy Skin,combination,Greek Yogurt with Berries,Fried Chicken
Blackheads,vegen,Coconut Water,Coconut Cream
Itchy Skin,veg,Sweet Potato,White Bread
Dryness,veg,Broccoli,Deep-Fried Snacks
Dryness,vegen,Kale,Coconut Cream
Sagging,veg,Beetroot,Carbonated Drinks
Rosacea,veg,Broccoli,Processed Juice
Rosacea,veg,Spinach,White Bread
Dark Spots,vegen,Zucchini,Packaged Vegan Chips
Pigmentation,vegen,Coconut Water,Vegan Mayo
Dark Circles,vegen,Hummus,Mock Meats
Sagging,veg,Broccoli,Fried Potato
Inflammation,combination,Vegetable Soup,Burger
Whiteheads,veg,Turmeric Milk,Pickles
Wrinkles,combination,Avocado Toast with Egg,Pizza
Sagging,nonveg,Eggs,Mayonnaise
Dullness,nonveg,Oysters,Sausages
Pores,veg,Cucumber,Processed Juice
Rosacea,nonveg,Yogurt,Red Meat
Eczema,vegen,Lentils,Mock Meats
Rosacea,vegen,Coconut Water,Excess Soy
Whiteheads,vegen,Soy Milk,Packaged Vegan Chips
Itchy Skin,combination,Fish Curry with Rice,Burger
Itchy Skin,veg,Beetroot,Deep-Fried Snacks
Uneven Skin Tone,veg,Almonds,White Bread
Pigmentation,combination,Tofu Stir Fry,Ice Cream
Redness,combination,Greek Yogurt with Berries,Fried Chicken
Dark Circles,veg,Sweet Potato,Processed Juice
Blackheads,combination,Greek Yogurt with Berries,Excess Cheese
Tanning,nonveg,Bone Broth,Red Meat
Redness,nonveg,Yogurt,Sausages
Sagging,nonveg,Prawns,Mayonnaise
Eczema,veg,Almonds,Fried Potato
Eczema,veg,Spinach,Butter
Oily Skin,nonveg,Chicken Breast,Fried Egg
Blackheads,combination,Tofu Stir Fry,Sugary Drinks
Sunburn,vegen,Chia Seeds,Excess Soy
Sunburn,vegen,Hummus,Refined Oil
Uneven Skin Tone,nonveg,Tuna,Red Meat
Whiteheads,combination,Greek Yogurt with Berries,Fried Chicken
Wrinkles,vegen,Quinoa,Refined Oil
Pigmentation,combination,Fruit Yogurt,Instant Noodles
Sagging,nonveg,Yogurt,Fried Fish
Eczema,veg,Almonds,Cheese
Dryness,nonveg,Yogurt,Bacon
Acne,vegen,Hummus,White Sugar
Sagging,vegen,Chia Seeds,Vegan Mayo
Dark Circles,combination,Tofu Stir Fry,Fried Chicken
Inflammation,veg,Sweet Potato,Deep-Fried Snacks
Acne,vegen,Kale,Vegan Mayo
Dark Circles,veg,Broccoli,Refined Sugar
Itchy Skin,combination,Avocado Toast with Egg,Fried Chicken
Wrinkles,nonveg,Oysters,Fried Egg
Pigmentation,vegen,Hummus,Packaged Vegan Chips
Tanning,vegen,Zucchini,Vegan Mayo
Eczema,nonveg,Bone Broth,Sausages
Eczema,vegen,Lentils,Vegan Mayo
Rosacea,combination,Chicken with Broccoli,Chips
Uneven Skin Tone,combination,Mixed Nuts,Pizza
Wrinkles,veg,Turmeric Milk,White Bread
Eczema,nonveg,Salmon,Mayonnaise
Pores,nonveg,Liver,Red Meat
Pores,veg,Spinach,Creamy Curries
Oily Skin,vegen,Soy Milk,Excess Soy
Eczema,vegen,Oats,Agave Syrup
Uneven Skin Tone,nonveg,Liver,Spicy Chicken
Wrinkles,combination,Mixed Nuts,Chips
Eczema,veg,Almonds,Creamy Curries
Acne,veg,Carrot,Processed Juice
Inflammation,combination,Fish Curry with Rice,Instant Noodles
Dark Spots,combination,Fish Curry with Rice,Pizza
Dullness,vegen,Hummus,Packaged Vegan Chips
Tanning,vegen,Hummus,Fried Tofu
Redness,veg,Pumpkin Seeds,Pickles
Whiteheads,nonveg,Salmon,Bacon
Uneven Skin Tone,vegen,Quinoa,Fried Tofu
Itchy Skin,combination,Greek Yogurt with Berries,Pizza
Inflammation,vegen,Lentils,Coconut Cream
Blackheads,nonveg,Prawns,Fried Egg
Acne,vegen,Tofu,Excess Soy
Pores,combination,Avocado Toast with Egg,Excess Cheese
Dark Circles,nonveg,Liver,Processed Meat
Dullness,veg,Spinach,Pickles
Uneven Skin Tone,combination,Vegetable Soup,Pizza
Acne,vegen,Tofu,Overprocessed Vegan Snacks
Wrinkles,nonveg,Eggs,Bacon
Pigmentation,vegen,Hummus,Fried Tofu
Sagging,combination,Avocado Toast with Egg,Sugary Drinks
Uneven Skin Tone,veg,Almonds,Fried Potato
Wrinkles,veg,Beetroot,Butter
Wrinkles,veg,Pumpkin Seeds,Deep-Fried Snacks
Whiteheads,vegen,Soy Milk,Refined Oil
Tanning,veg,Spinach,Creamy Curries
Inflammation,vegen,Kale,Fried Tofu
Tanning,nonveg,Tuna,Fried Fish
Pigmentation,combination,Baked Fish with Veggies,Pizza
Whiteheads,vegen,Tofu,Agave Syrup
Whiteheads,nonveg,Liver,Fried Fish
Dark Circles,veg,Beetroot,Fried Potato
Sunburn,combination,Vegetable Soup,Butter Paneer
Uneven Skin Tone,nonveg,Liver,Processed Meat
Inflammation,vegen,Coconut Water,Refined Oil
Itchy Skin,combination,Fish Curry with Rice,Chips
Whiteheads,nonveg,Yogurt,Spicy Chicken
Wrinkles,nonveg,Prawns,Processed Meat
Whiteheads,combination,Fruit Yogurt,Pizza
Dryness,vegen,Lentils,Packaged Vegan Chips
Pores,combination,Baked Fish with Veggies,Chips
Dark Circles,nonveg,Chicken Breast,Fried Fish
Dark Circles,nonveg,Eggs,Mayonnaise
Dullness,vegen,Zucchini,White Sugar
Itchy Skin,vegen,Hummus,Excess Soy
Blackheads,combination,Fish Curry with Rice,Butter Paneer
Pigmentation,veg,Tomato,Deep-Fried Snacks
Tanning,vegen,Tofu,White Sugar
Sagging,combination,Egg Salad,Fried Chicken
Dryness,veg,Turmeric Milk,Pickles
Blackheads,veg,Broccoli,Cheese
Sunburn,veg,Almonds,Processed Juice
Blackheads,combination,Greek Yogurt with Berries,Fried Chicken
Dark Circles,combination,Tofu Stir Fry,Ice Cream
Uneven Skin Tone,nonveg,Yogurt,Red Meat
Dryness,veg,Sweet Potato,Refined Sugar
Rosacea,vegen,Kale,Vegan Mayo
Dullness,veg,Almonds,Cheese
Pigmentation,combination,Fruit Yogurt,Instant Noodles
Pores,combination,Fruit Yogurt,Excess Cheese
Dryness,nonveg,Prawns,Processed Meat
Oily Skin,vegen,Zucchini,Mock Meats
Sunburn,vegen,Coconut Water,White Sugar
Acne,combination,Vegetable Soup,Cream Biscuits
Wrinkles,nonveg,Prawns,Mayonnaise
Dark Spots,combination,Greek Yogurt with Berries,Excess Cheese
Eczema,vegen,Zucchini,Vegan Mayo
Dark Spots,nonveg,Bone Broth,Red Meat
Dullness,combination,Baked Fish with Veggies,Cream Biscuits
Dark Circles,vegen,Chia Seeds,Packaged Vegan Chips
Itchy Skin,nonveg,Yogurt,Sausages
Blackheads,veg,Spinach,Processed Juice
Tanning,vegen,Lentils,Overprocessed Vegan Snacks
Whiteheads,nonveg,Tuna,Butter Chicken
Blackheads,vegen,Tofu,Vegan Mayo
Blackheads,nonveg,Bone Broth,Fried Fish
Dark Circles,veg,Sweet Potato,Creamy Curries
Acne,vegen,Tofu,Mock Meats
Sunburn,nonveg,Prawns,Butter Chicken
Dryness,nonveg,Eggs,Spicy Chicken
Wrinkles,veg,Spinach,Fried Potato
Pigmentation,nonveg,Eggs,Red Meat
Acne,veg,Sweet Potato,Pickles
Itchy Skin,vegen,Hummus,White Sugar
Dryness,veg,Sweet Potato,Processed Juice
Tanning,vegen,Hummus,White Sugar
Acne,veg,Broccoli,Carbonated Drinks
Pores,vegen,Chia Seeds,Packaged Vegan Chips
Dryness,nonveg,Prawns,Bacon
Uneven Skin Tone,nonveg,Chicken Breast,Fried Egg
Dark Spots,veg,Cucumber,Butter
Redness,nonveg,Tuna,Processed Meat
Dullness,vegen,Zucchini,Coconut Cream
Wrinkles,veg,Carrot,Carbonated Drinks
Acne,vegen,Hummus,Overprocessed Vegan Snacks
Acne,combination,Fruit Yogurt,Chips
Inflammation,vegen,Kale,White Sugar
Uneven Skin Tone,veg,Carrot,Pickles
Redness,vegen,Hummus,Packaged Vegan Chips
Oily Skin,veg,Carrot,Pickles
Pores,combination,Chicken with Broccoli,Burger
Blackheads,combination,Egg Salad,Butter Paneer
Tanning,combination,Chicken with Broccoli,Excess Cheese
Eczema,combination,Tofu Stir Fry,Butter Paneer
Dryness,veg,Pumpkin Seeds,Deep-Fried Snacks
Sunburn,vegen,Hummus,Vegan Mayo
Sunburn,combination,Greek Yogurt with Berries,Sugary Drinks
Rosacea,vegen,Tofu,Agave Syrup
Eczema,vegen,Soy Milk,Vegan Mayo
Blackheads,vegen,Coconut Water,Vegan Mayo
Dark Spots,veg,Cucumber,Deep-Fried Snacks
Sagging,veg,Pumpkin Seeds,Fried Potato
Pores,vegen,Tofu,Coconut Cream
Itchy Skin,veg,Turmeric Milk,Creamy Curries
Rosacea,veg,Turmeric Milk,Carbonated Drinks
Dark Circles,veg,Spinach,White Bread
Redness,combination,Baked Fish with Veggies,Fried Chicken
Inflammation,nonveg,Liver,Red Meat
Dullness,veg,Sweet Potato,Fried Potato
Inflammation,combination,Fish Curry with Rice,Burger
Itchy Skin,combination,Mixed Nuts,Fried Chicken
Uneven Skin Tone,veg,Cucumber,Creamy Curries
Itchy Skin,combination,Chicken with Broccoli,Sugary Drinks
Sagging,combination,Avocado Toast with Egg,Cream Biscuits
Pigmentation,veg,Spinach,Deep-Fried Snacks
Tanning,nonveg,Yogurt,Fried Fish
Eczema,vegen,Tofu,Agave Syrup
Whiteheads,nonveg,Eggs,Spicy Chicken
Eczema,vegen,Quinoa,Vegan Mayo
Inflammation,veg,Cucumber,Fried Potato
Whiteheads,combination,Fruit Yogurt,Sugary Drinks
Wrinkles,combination,Fruit Yogurt,Chips
Sagging,veg,Pumpkin Seeds,Pickles
Dark Spots,nonveg,Salmon,Fried Egg
Dark Circles,nonveg,Oysters,Mayonnaise
Acne,veg,Carrot,Refined Sugar
Rosacea,nonveg,Oysters,Sausages
Whiteheads,veg,Cucumber,White Bread
Sunburn,nonveg,Yogurt,Mayonnaise
Pigmentation,nonveg,Prawns,Fried Egg
Uneven Skin Tone,combination,Egg Salad,Pizza
Oily Skin,vegen,Coconut Water,Vegan Mayo
Pigmentation,nonveg,Yogurt,Mayonnaise
Blackheads,veg,Beetroot,Pickles
Oily Skin,vegen,Coconut Water,Coconut Cream
Acne,vegen,Chia Seeds,Refined Oil
Pores,veg,Spinach,Refined Sugar
Inflammation,combination,Egg Salad,Cream Biscuits
Pigmentation,vegen,Chia Seeds,White Sugar
Uneven Skin Tone,nonveg,Liver,Fried Fish
Dryness,combination,Vegetable Soup,Butter Paneer
Dryness,nonveg,Tuna,Red Meat
Dryness,vegen,Chia Seeds,Agave Syrup
Inflammation,combination,Egg Salad,Pizza
Sagging,combination,Chicken with Broccoli,Fried Chicken
Inflammation,combination,Greek Yogurt with Berries,Chips
Dullness,nonveg,Eggs,Fried Egg
Dark Spots,vegen,Hummus,Mock Meats
Tanning,nonveg,Liver,Processed Meat
Dark Circles,combination,Fruit Yogurt,Butter Paneer
Wrinkles,vegen,Chia Seeds,Mock Meats
Dark Spots,nonveg,Turkey,Mutton Curry
Dullness,veg,Tomato,Refined Sugar
Dryness,combination,Mixed Nuts,Pizza
Dark Circles,combination,Greek Yogurt with Berries,Cream Biscuits
Rosacea,nonveg,Eggs,Fried Fish
Itchy Skin,combination,Vegetable Soup,Chips
Itchy Skin,combination,Greek Yogurt with Berries,Ice Cream
Uneven Skin Tone,nonveg,Liver,Butter Chicken
Dryness,vegen,Lentils,Vegan Mayo
Redness,veg,Almonds,Creamy Curries
Sunburn,nonveg,Yogurt,Bacon
Tanning,nonveg,Prawns,Bacon
Pigmentation,combination,Vegetable Soup,Excess Cheese
Dullness,vegen,Tofu,Vegan Mayo
Dryness,combination,Mixed Nuts,Pizza
Itchy Skin,vegen,Lentils,Refined Oil
Rosacea,combination,Baked Fish with Veggies,Cream Biscuits
Uneven Skin Tone,combination,Chicken with Broccoli,Chips
Rosacea,nonveg,Tuna,Fried Egg
Pigmentation,veg,Turmeric Milk,Fried Potato
Tanning,combination,Mixed Nuts,Burger
Dryness,vegen,Lentils,Refined Oil
Eczema,veg,Tomato,Refined Sugar
Oily Skin,veg,Cucumber,Deep-Fried Snacks
Rosacea,veg,Turmeric Milk,Fried Potato
Dark Circles,combination,Fruit Yogurt,Butter Paneer
Rosacea,veg,Beetroot,White Bread
Acne,vegen,Zucchini,Coconut Cream
Blackheads,combination,Fruit Yogurt,Burger
Pigmentation,veg,Spinach,White Bread
Pigmentation,vegen,Quinoa,Mock Meats
Pores,veg,Carrot,White Bread
Redness,veg,Spinach,Cheese
Wrinkles,combination,Vegetable Soup,Sugary Drinks
Pores,combination,Baked Fish with Veggies,Cream Biscuits
Uneven Skin Tone,veg,Cucumber,Butter
Dryness,vegen,Chia Seeds,Fried Tofu
Sunburn,nonveg,Turkey,Fried Egg
Tanning,veg,Pumpkin Seeds,Processed Juice
Pores,veg,Tomato,Refined Sugar
Dryness,veg,Almonds,Butter
Eczema,nonveg,Yogurt,Red Meat
Sunburn,veg,Carrot,Butter
Pores,nonveg,Salmon,Mutton Curry
Redness,veg,Sweet Potato,Processed Juice
Dullness,veg,Spinach,Deep-Fried Snacks
Dullness,veg,Tomato,Cheese
Eczema,nonveg,Prawns,Processed Meat
Pores,nonveg,Oysters,Fried Egg
Uneven Skin Tone,nonveg,Salmon,Processed Meat
Rosacea,veg,Carrot,Fried Potato
Redness,vegen,Zucchini,Mock Meats
Acne,veg,Almonds,Processed Juice
Redness,veg,Spinach,Deep-Fried Snacks
Rosacea,vegen,Kale,Packaged Vegan Chips
Dryness,nonveg,Turkey,Butter Chicken
Whiteheads,nonveg,Tuna,Mutton Curry
Inflammation,combination,Fruit Yogurt,Cream Biscuits
Pores,nonveg,Salmon,Red Meat
Rosacea,vegen,Kale,Agave Syrup
Pigmentation,combination,Mixed Nuts,Pizza
Sunburn,nonveg,Oysters,Red Meat
Oily Skin,vegen,Oats,Agave Syrup
Uneven Skin Tone,combination,Fish Curry with Rice,Excess Cheese
Pigmentation,combination,Chicken with Broccoli,Butter Paneer
Tanning,combination,Fish Curry with Rice,Cream Biscuits
Dryness,nonveg,Bone Broth,Spicy Chicken
Blackheads,nonveg,Yogurt,Processed Meat
Wrinkles,veg,Carrot,Fried Potato
Inflammation,veg,Almonds,Fried Potato
Pores,nonveg,Salmon,Butter Chicken
Tanning,vegen,Coconut Water,Packaged Vegan Chips
Blackheads,veg,Beetroot,Refined Sugar
Oily Skin,vegen,Hummus,Fried Tofu
Blackheads,nonveg,Bone Broth,Red Meat
Dullness,combination,Baked Fish with Veggies,Chips
Inflammation,vegen,Quinoa,Mock Meats
Pigmentation,veg,Beetroot,Processed Juice
Inflammation,vegen,Lentils,Overprocessed Vegan Snacks
Rosacea,veg,Tomato,Carbonated Drinks
Redness,nonveg,Salmon,Spicy Chicken
Itchy Skin,combination,Mixed Nuts,Fried Chicken
Pigmentation,veg,Broccoli,Creamy Curries
Itchy Skin,veg,Turmeric Milk,White Bread
Acne,vegen,Chia Seeds,White Sugar
Pores,nonveg,Tuna,Butter Chicken
Acne,nonveg,Tuna,Sausages
Pigmentation,veg,Turmeric Milk,White Bread
Oily Skin,combination,Greek Yogurt with Berries,Burger
Dark Spots,vegen,Soy Milk,Coconut Cream
Inflammation,veg,Almonds,Refined Sugar
Wrinkles,vegen,Oats,Vegan Mayo
Pores,combination,Greek Yogurt with Berries,Fried Chicken
Oily Skin,combination,Tofu Stir Fry,Butter Paneer
Sagging,nonveg,Chicken Breast,Sausages
Tanning,veg,Carrot,Cheese
Blackheads,vegen,Coconut Water,Mock Meats
Sunburn,veg,Sweet Potato,Pickles
Eczema,nonveg,Prawns,Fried Egg
Sagging,nonveg,Prawns,Bacon
Uneven Skin Tone,combination,Egg Salad,Burger
Dark Spots,nonveg,Eggs,Mayonnaise
Pigmentation,veg,Carrot,White Bread
Tanning,nonveg,Bone Broth,Bacon
Tanning,nonveg,Tuna,Spicy Chicken
Dark Circles,veg,Broccoli,Refined Sugar
Whiteheads,combination,Baked Fish with Veggies,Instant Noodles
Sunburn,nonveg,Prawns,Fried Fish
Oily Skin,vegen,Quinoa,Mock Meats
Eczema,nonveg,Salmon,Spicy Chicken
Acne,nonveg,Salmon,Mutton Curry
Dryness,combination,Fish Curry with Rice,Ice Cream
Dark Circles,nonveg,Turkey,Mayonnaise
Pores,nonveg,Chicken Breast,Mutton Curry
Pores,nonveg,Salmon,Spicy Chicken
Dark Spots,veg,Almonds,Cheese
Dryness,vegen,Lentils,Agave Syrup
Sunburn,veg,Carrot,Cheese
Eczema,nonveg,Turkey,Mayonnaise
Itchy Skin,combination,Avocado Toast with Egg,Cream Biscuits
Wrinkles,nonveg,Eggs,Fried Fish
Acne,nonveg,Bone Broth,Fried Fish
Redness,veg,Cucumber,Butter
Rosacea,veg,Beetroot,Processed Juice
Dark Spots,nonveg,Chicken Breast,Red Meat
Whiteheads,nonveg,Prawns,Bacon
Oily Skin,vegen,Hummus,Overprocessed Vegan Snacks
Dark Circles,veg,Tomato,Refined Sugar
Redness,vegen,Soy Milk,Vegan Mayo
Dryness,combination,Avocado Toast with Egg,Fried Chicken
Pores,vegen,Hummus,Fried Tofu
Dryness,vegen,Oats,Agave Syrup
Dark Circles,veg,Turmeric Milk,Deep-Fried Snacks
Rosacea,combination,Mixed Nuts,Pizza
Dullness,combination,Fruit Yogurt,Instant Noodles
Dryness,vegen,Hummus,Agave Syrup
Sunburn,combination,Tofu Stir Fry,Ice Cream
Blackheads,vegen,Quinoa,Refined Oil
Dullness,vegen,Tofu,Fried Tofu
Sunburn,nonveg,Eggs,Sausages
Dark Circles,vegen,Chia Seeds,White Sugar
Dullness,nonveg,Yogurt,Mutton Curry
Redness,nonveg,Oysters,Butter Chicken
Uneven Skin Tone,combination,Fish Curry with Rice,Burger
Dark Spots,veg,Sweet Potato,Creamy Curries
Eczema,veg,Turmeric Milk,Pickles
Dark Circles,nonveg,Yogurt,Fried Fish
Eczema,vegen,Lentils,Excess Soy
Sunburn,combination,Vegetable Soup,Sugary Drinks
Dullness,vegen,Tofu,Coconut Cream
Dryness,combination,Greek Yogurt with Berries,Ice Cream
Blackheads,nonveg,Yogurt,Mutton Curry
Dryness,nonveg,Chicken Breast,Fried Fish
Pores,vegen,Hummus,Refined Oil
Pores,combination,Mixed Nuts,Butter Paneer
Rosacea,combination,Baked Fish with Veggies,Chips
Itchy Skin,vegen,Zucchini,Packaged Vegan Chips
Uneven Skin Tone,nonveg,Oysters,Mutton Curry
Redness,combination,Tofu Stir Fry,Butter Paneer
Whiteheads,vegen,Hummus,Mock Meats
Dark Spots,vegen,Chia Seeds,Agave Syrup
Sunburn,combination,Fish Curry with Rice,Burger
Pigmentation,combination,Fruit Yogurt,Chips
Acne,veg,Turmeric Milk,Cheese
Eczema,combination,Greek Yogurt with Berries,Burger
Uneven Skin Tone,nonveg,Liver,Fried Egg
Dark Circles,combination,Mixed Nuts,Cream Biscuits
Rosacea,vegen,Lentils,Fried Tofu
Pigmentation,veg,Tomato,Fried Potato
Itchy Skin,combination,Fish Curry with Rice,Ice Cream
Pores,veg,Broccoli,White Bread
Rosacea,veg,Broccoli,Fried Potato
Whiteheads,nonveg,Tuna,Spicy Chicken
Redness,veg,Broccoli,Cheese
Dullness,nonveg,Salmon,Mayonnaise
Inflammation,vegen,Oats,Fried Tofu
Blackheads,veg,Carrot,Fried Potato
Tanning,veg,Cucumber,Deep-Fried Snacks
Pores,nonveg,Eggs,Fried Fish
Oily Skin,combination,Greek Yogurt with Berries,Butter Paneer
Oily Skin,combination,Mixed Nuts,Sugary Drinks
Sunburn,combination,Fruit Yogurt,Sugary Drinks
Redness,vegen,Lentils,Packaged Vegan Chips
Sagging,veg,Spinach,Creamy Curries
Sunburn,nonveg,Salmon,Butter Chicken
Redness,combination,Fish Curry with Rice,Ice Cream
Itchy Skin,vegen,Kale,Overprocessed Vegan Snacks
Inflammation,vegen,Hummus,Coconut Cream
Redness,nonveg,Tuna,Mayonnaise
Acne,veg,Broccoli,Fried Potato
Dryness,combination,Fish Curry with Rice,Butter Paneer
Tanning,veg,Carrot,Cheese
Uneven Skin Tone,veg,Carrot,Fried Potato
Dark Circles,vegen,Tofu,Overprocessed Vegan Snacks
Oily Skin,combination,Fish Curry with Rice,Chips
Itchy Skin,nonveg,Chicken Breast,Sausages
Acne,combination,Vegetable Soup,Cream Biscuits
Wrinkles,nonveg,Liver,Butter Chicken
Oily Skin,vegen,Tofu,Refined Oil
Sunburn,veg,Tomato,Pickles
Eczema,combination,Mixed Nuts,Sugary Drinks
Dark Spots,vegen,Tofu,Refined Oil
Eczema,nonveg,Bone Broth,Mayonnaise
Blackheads,combination,Fish Curry with Rice,Chips
Eczema,combination,Vegetable Soup,Ice Cream
Dark Circles,nonveg,Eggs,Mayonnaise
Blackheads,nonveg,Prawns,Fried Egg
Eczema,nonveg,Salmon,Bacon
Pores,vegen,Oats,Coconut Cream
Blackheads,nonveg,Tuna,Sausages
Redness,veg,Sweet Potato,Cheese
Dryness,vegen,Hummus,White Sugar
Dryness,vegen,Soy Milk,Vegan Mayo
